scenario,model_family,model_type,term,coef,se,irr,ci_low,ci_high,p_value,n_rows,events
observed_exact_positive_only,rurality_only,GLM_negative_binomial_alpha1_robust,primary_rurality_metro_other,-0.060205228611026514,0.04375667931405116,0.9415712763887384,0.8641850800768022,1.0258872653084077,0.16884966884923802,1077,50833.0
observed_exact_positive_only,rurality_only,GLM_negative_binomial_alpha1_robust,primary_rurality_nonmetro_adjacent,-0.13078647383775696,0.053259370159935406,0.8774051033349641,0.7904326388169812,0.9739472758999894,0.01406293032080178,1077,50833.0
observed_exact_positive_only,rurality_only,GLM_negative_binomial_alpha1_robust,primary_rurality_nonmetro_nonadjacent,-0.09953033758299726,0.08314004247421224,0.9052624859761134,0.7691380391551265,1.065478661562296,0.23125167669283953,1077,50833.0
observed_exact_positive_only,rurality_only,GLM_negative_binomial_alpha1_robust,acs_pct_age_65_plus_z,0.13643212173439903,0.018517421565229564,1.1461770746233286,1.1053234150688656,1.1885407189263624,1.735044781302989e-13,1077,50833.0
observed_exact_positive_only,rurality_only,GLM_negative_binomial_alpha1_robust,acs_pct_male_z,0.011936367822435722,0.01611249654344019,1.012007890551409,0.980547563191727,1.0444776051501523,0.4588060443997507,1077,50833.0
observed_exact_positive_only,rurality_svi_composite,GLM_negative_binomial_alpha1_robust,primary_rurality_metro_other,-0.015232599348367383,0.06403694852529211,0.9848828298542641,0.8687107886766982,1.1165904708278456,0.8119803448046383,1077,50833.0
observed_exact_positive_only,rurality_svi_composite,GLM_negative_binomial_alpha1_robust,primary_rurality_nonmetro_adjacent,-0.06665249216154813,0.07214790300373321,0.9355202454741454,0.8121563711532133,1.0776226854556057,0.355574147905257,1077,50833.0
observed_exact_positive_only,rurality_svi_composite,GLM_negative_binomial_alpha1_robust,primary_rurality_nonmetro_nonadjacent,-0.026008688876474926,0.10144903208169616,0.9743266237682899,0.7986369701232133,1.1886656958007533,0.7976636243738591,1077,50833.0
observed_exact_positive_only,rurality_svi_composite,GLM_negative_binomial_alpha1_robust,svi_quartile_Q2,-0.0403020159844296,0.08216356888014946,0.9604993091981753,0.8176322537650773,1.128329904699726,0.6237733669002503,1077,50833.0
observed_exact_positive_only,rurality_svi_composite,GLM_negative_binomial_alpha1_robust,svi_quartile_Q3,-0.025557646641463885,0.06384945130488488,0.9747661853492721,0.8601034801657352,1.1047148837454783,0.6889504323128937,1077,50833.0
observed_exact_positive_only,rurality_svi_composite,GLM_negative_binomial_alpha1_robust,svi_quartile_Q4_highest,-0.14854827440070284,0.07070587865434111,0.8619583956411406,0.7504128204885908,0.9900847314049124,0.03564689696894735,1077,50833.0
observed_exact_positive_only,rurality_svi_composite,GLM_negative_binomial_alpha1_robust,acs_pct_age_65_plus_z,0.1341588212935711,0.018490121195096593,1.1435744291926726,1.1028725485223039,1.1857784263971094,3.99582042361008e-13,1077,50833.0
observed_exact_positive_only,rurality_svi_composite,GLM_negative_binomial_alpha1_robust,acs_pct_male_z,0.012052664572862895,0.01623834538847412,1.0121255906244222,0.9804197404935525,1.0448567780582871,0.457945104855758,1077,50833.0
observed_exact_positive_only,acs_component_family,GLM_negative_binomial_alpha1_robust,primary_rurality_metro_other,-0.05137520296169516,0.03992412700821248,0.9499221900412574,0.8784234679369504,1.0272405053704077,0.19815670379031958,1077,50833.0
observed_exact_positive_only,acs_component_family,GLM_negative_binomial_alpha1_robust,primary_rurality_nonmetro_adjacent,-0.11361565074016147,0.044956380535904894,0.8926009604798958,0.8173154453746989,0.9748212629021933,0.011496227327771197,1077,50833.0
observed_exact_positive_only,acs_component_family,GLM_negative_binomial_alpha1_robust,primary_rurality_nonmetro_nonadjacent,-0.02193423930747519,0.09257325310092177,0.9783045669217536,0.8159698971995927,1.1729352135963058,0.8127039017260097,1077,50833.0
observed_exact_positive_only,acs_component_family,GLM_negative_binomial_alpha1_robust,acs_pct_poverty_z,-0.018591843559927945,0.02327864727638709,0.9815799186576506,0.937800544022631,1.0274030473250704,0.424484618473562,1077,50833.0
