query_id,row_type,year,state,state_fips,county,county_fips,urbanization,age_group,sex,race,hispanic_origin,place_of_death,deaths_raw,deaths,death_count_status,death_count_known,death_count_suppressed,death_count_zero,population,crude_rate,rate_status,notes,rate_per_100k
Q004_state_year_mc_g40_g41_2019_2024,state,2021,Connecticut,09,,,,,,,,,99,99,exact,True,False,False,3605597,2.7,known_or_blank,,2.74573115076366
Q004_state_year_mc_g40_g41_2019_2024,state,2022,Connecticut,09,,,,,,,,,91,91,exact,True,False,False,3626205,2.5,known_or_blank,,2.5095106316383107
Q004_state_year_mc_g40_g41_2019_2024,state,2023,Connecticut,09,,,,,,,,,103,103,exact,True,False,False,3617176,2.8,known_or_blank,,2.847525251743349
Q004_state_year_mc_g40_g41_2019_2024,state,2024,Connecticut,09,,,,,,,,,119,119,exact,True,False,False,3675069,3.2,known_or_blank,,3.2380344423465246
Q004_state_year_mc_g40_g41_2019_2024,state,2019,Delaware,10,,,,,,,,,14,14,exact,True,False,False,973764,1.4,known_or_blank,,1.4377200225105877
Q004_state_year_mc_g40_g41_2019_2024,state,2020,Delaware,10,,,,,,,,,30,30,exact,True,False,False,986809,3.0,known_or_blank,,3.0401019852879334
Q004_state_year_mc_g40_g41_2019_2024,state,2021,Delaware,10,,,,,,,,,38,38,exact,True,False,False,1003384,3.8,known_or_blank,,3.787184168772873
Q004_state_year_mc_g40_g41_2019_2024,state,2022,Delaware,10,,,,,,,,,30,30,exact,True,False,False,1018396,2.9,known_or_blank,,2.9458088994850726
Q004_state_year_mc_g40_g41_2019_2024,state,2023,Delaware,10,,,,,,,,,49,49,exact,True,False,False,1031890,4.7,known_or_blank,,4.748568161335026
Q004_state_year_mc_g40_g41_2019_2024,state,2024,Delaware,10,,,,,,,,,40,40,exact,True,False,False,1051917,3.8,known_or_blank,,3.8025813823714225
Q004_state_year_mc_g40_g41_2019_2024,state,2019,District of Columbia,11,,,,,,,,,14,14,exact,True,False,False,705749,2.0,known_or_blank,,1.9837080888531191
Q004_state_year_mc_g40_g41_2019_2024,state,2020,District of Columbia,11,,,,,,,,,33,33,exact,True,False,False,712816,4.6,known_or_blank,,4.629525712105227
Q004_state_year_mc_g40_g41_2019_2024,state,2021,District of Columbia,11,,,,,,,,,34,34,exact,True,False,False,670050,5.1,known_or_blank,,5.07424819043355
Q004_state_year_mc_g40_g41_2019_2024,state,2022,District of Columbia,11,,,,,,,,,33,33,exact,True,False,False,671803,4.9,known_or_blank,,4.912154307140636
Q004_state_year_mc_g40_g41_2019_2024,state,2023,District of Columbia,11,,,,,,,,,29,29,exact,True,False,False,678972,4.3,known_or_blank,,4.27116287564141
Q004_state_year_mc_g40_g41_2019_2024,state,2024,District of Columbia,11,,,,,,,,,24,24,exact,True,False,False,702250,3.4,known_or_blank,,3.4175863296546813
