chain,draw,iteration,parameter,value
1,2,320,state_effect[47],0.0853653029277079
1,2,320,state_effect[48],-0.005976189181957223
1,2,320,state_effect[49],0.147991115620903
1,2,320,state_effect[50],0.0037316585743670354
1,2,320,state_effect[51],0.018396842535656013
1,2,320,state_effect[53],-0.029473575142428515
1,2,320,state_effect[54],-0.04315777019794305
1,2,320,state_effect[55],-0.06550189821967481
1,2,320,state_effect[56],0.031025433859067045
1,2,320,year_effect[2019],-0.21763016970378535
1,2,320,year_effect[2020],-0.057520090769520374
1,2,320,year_effect[2021],0.007219105735602374
1,2,320,year_effect[2022],0.09396338671441387
1,2,320,year_effect[2023],0.07305550045157172
1,2,320,year_effect[2024],0.10091226757171773
1,2,320,sigma_state,0.11001359017624365
1,2,320,sigma_year,0.11788497085415377
1,2,320,kappa,2.35842495036267
1,3,330,Intercept,-10.631902642155277
1,3,330,primary_rurality_metro_other,0.11848319516123273
1,3,330,primary_rurality_nonmetro_adjacent,0.20761735917279847
1,3,330,primary_rurality_nonmetro_nonadjacent,0.22211224029182625
1,3,330,svi_quartile_Q2,0.1218242452481533
1,3,330,svi_quartile_Q3,0.26880211937884324
1,3,330,svi_quartile_Q4_highest,0.4027767021643913
1,3,330,z_pct_age65,0.08190946001671483
1,3,330,z_pct_male,-0.008059777150768919
1,3,330,state_effect[01],-0.08406562313807078
1,3,330,state_effect[02],-0.028257014373190014
1,3,330,state_effect[04],-0.0959960092963346
1,3,330,state_effect[05],0.05884450209671828
1,3,330,state_effect[06],-0.03868469989838208
1,3,330,state_effect[08],0.10473219228033169
1,3,330,state_effect[09],0.24660849202181148
1,3,330,state_effect[10],0.0007830617730809836
1,3,330,state_effect[11],0.003809995470421116
1,3,330,state_effect[12],-0.18518021586229685
1,3,330,state_effect[13],-0.22588956223865914
1,3,330,state_effect[15],0.0006688468159478248
1,3,330,state_effect[16],-0.16489430373045422
1,3,330,state_effect[17],-0.13139797858539085
1,3,330,state_effect[18],0.1518818249647408
1,3,330,state_effect[19],0.006980820049895034
1,3,330,state_effect[20],-0.051230065228801955
1,3,330,state_effect[21],-0.08452083447585973
1,3,330,state_effect[22],-0.09767848233416805
1,3,330,state_effect[23],0.10369655756418031
1,3,330,state_effect[24],0.01289561068093691
1,3,330,state_effect[25],-0.07250194406241173
1,3,330,state_effect[26],-0.1251127342206599
1,3,330,state_effect[27],0.17644616225271265
1,3,330,state_effect[28],0.1213010114425974
1,3,330,state_effect[29],-0.07741487072634341
1,3,330,state_effect[30],-0.05334861285488035
1,3,330,state_effect[31],0.1591912010199087
1,3,330,state_effect[32],-0.053215738135010696
1,3,330,state_effect[33],-0.021687490882845616
1,3,330,state_effect[34],-0.17207768682665758
1,3,330,state_effect[35],-0.02138107139783914
1,3,330,state_effect[36],-0.07115982962025011
1,3,330,state_effect[37],-0.05041514573184895
1,3,330,state_effect[38],-0.20619297012106416
1,3,330,state_effect[39],-0.037375846354853075
1,3,330,state_effect[40],0.10514265157127323
1,3,330,state_effect[41],0.12688541832686068
1,3,330,state_effect[42],0.04914332795430926
1,3,330,state_effect[44],0.09504685511076857
1,3,330,state_effect[45],0.20069130153073542
1,3,330,state_effect[46],0.19863685582679377
1,3,330,state_effect[47],0.10075733662076018
1,3,330,state_effect[48],-0.016457139965947845
1,3,330,state_effect[49],0.15435506260973383
1,3,330,state_effect[50],0.010063372795835676
1,3,330,state_effect[51],0.05579786083787972
1,3,330,state_effect[53],-0.012559192738079268
1,3,330,state_effect[54],-0.02313811214094151
1,3,330,state_effect[55],-0.05610212090198785
1,3,330,state_effect[56],0.013574974224995949
1,3,330,year_effect[2019],-0.2475585145654482
1,3,330,year_effect[2020],-0.06333285984329184
1,3,330,year_effect[2021],0.015445236763727326
1,3,330,year_effect[2022],0.08058052317457969
1,3,330,year_effect[2023],0.10467831064567891
1,3,330,year_effect[2024],0.11018730382475418
1,3,330,sigma_state,0.10275804284479266
1,3,330,sigma_year,0.11764272108697293
1,3,330,kappa,2.4707277689134703
1,4,340,Intercept,-10.60593605076068
1,4,340,primary_rurality_metro_other,0.12026921289115797
1,4,340,primary_rurality_nonmetro_adjacent,0.20704774752779279
1,4,340,primary_rurality_nonmetro_nonadjacent,0.2570399380633054
1,4,340,svi_quartile_Q2,0.1385961114038575
1,4,340,svi_quartile_Q3,0.23859574280330326
1,4,340,svi_quartile_Q4_highest,0.3755100303610609
1,4,340,z_pct_age65,0.1006158218569856
1,4,340,z_pct_male,-0.012215655862315251
1,4,340,state_effect[01],-0.10882585770910963
1,4,340,state_effect[02],0.04526963890066058
1,4,340,state_effect[04],-0.14176643139975972
1,4,340,state_effect[05],0.05113952380079408
1,4,340,state_effect[06],-0.06310929309349367
1,4,340,state_effect[08],0.09196244506069881
1,4,340,state_effect[09],0.2694144155267011
1,4,340,state_effect[10],-0.04040278973296503
1,4,340,state_effect[11],-0.007953561341615793
1,4,340,state_effect[12],-0.21014976913540184
1,4,340,state_effect[13],-0.22988712189277996
1,4,340,state_effect[15],0.023747785440229596
1,4,340,state_effect[16],-0.13453894132742583
1,4,340,state_effect[17],-0.153898216045942
1,4,340,state_effect[18],0.18150700568853412
1,4,340,state_effect[19],0.026561917372369716
1,4,340,state_effect[20],-0.048115822008109155
1,4,340,state_effect[21],-0.0829901903920687
1,4,340,state_effect[22],-0.09416599482964413
1,4,340,state_effect[23],0.10815780216106904
1,4,340,state_effect[24],0.01595418583778576
1,4,340,state_effect[25],-0.10733086797932137
1,4,340,state_effect[26],-0.12525302032093838
1,4,340,state_effect[27],0.1727840407957453
1,4,340,state_effect[28],0.10320245457991381
1,4,340,state_effect[29],-0.07711445194554672
1,4,340,state_effect[30],-0.06763710992504504
1,4,340,state_effect[31],0.1404816317943838
1,4,340,state_effect[32],-0.0037754772390916694
1,4,340,state_effect[33],-0.015078587009565929
1,4,340,state_effect[34],-0.19639839221533228
1,4,340,state_effect[35],-0.02517732829421365
1,4,340,state_effect[36],-0.05297009221215788
1,4,340,state_effect[37],-0.05978301830899551
1,4,340,state_effect[38],-0.18898489949747851
1,4,340,state_effect[39],-0.03477693031517707
1,4,340,state_effect[40],0.13813159904749556
1,4,340,state_effect[41],0.13256354786896501
1,4,340,state_effect[42],0.05587554238922577
1,4,340,state_effect[44],0.07033935777790584
1,4,340,state_effect[45],0.18882282314361087
1,4,340,state_effect[46],0.1848104384541762
1,4,340,state_effect[47],0.08910664260521428
1,4,340,state_effect[48],0.023251458176148057
1,4,340,state_effect[49],0.14139807667878987
1,4,340,state_effect[50],-0.00866565146109486
1,4,340,state_effect[51],0.05413620592154886
1,4,340,state_effect[53],-0.046998516784217556
1,4,340,state_effect[54],0.006576659598272102
1,4,340,state_effect[55],0.0002959387666304769
1,4,340,state_effect[56],0.010257195029623446
1,4,340,year_effect[2019],-0.26491918758719024
1,4,340,year_effect[2020],-0.051784403893134004
1,4,340,year_effect[2021],0.028876697812203825
1,4,340,year_effect[2022],0.12478350687548245
1,4,340,year_effect[2023],0.0685591278389953
1,4,340,year_effect[2024],0.09448425895364264
1,4,340,sigma_state,0.09627051874054428
1,4,340,sigma_year,0.12146125207053032
1,4,340,kappa,2.412409400695166
1,5,350,Intercept,-10.61840408629879
