type,block,min,median,max
count_move,blocked_refresh,0.0748697916666666,0.0768229166666666,0.076953125
count_move,cycle_swap,0.0083502783426114,0.008464151891821651,0.0087913066218569
count_move,interval_path,0.1620817727909738,0.162799044192777,0.1633526772999145
count_move,interval_transfer,0.2549867205991843,0.25518844284967024,0.2563038819400382
count_move,swap_2x2,0.0237864266035466,0.0238586623848843,0.0239717198619377
count_move,transfer,0.074614179527349,0.0750746602772478,0.0754728513324295
parameter,beta,0.40625,0.40822916666666664,0.4092083333333333
parameter,log_kappa,0.4439583333333333,0.44870833333333326,0.4488333333333333
parameter,log_sigma_state,0.4314166666666666,0.43618749999999995,0.44075
parameter,log_sigma_year,0.4362083333333333,0.4365,0.4391666666666666
parameter,state,0.635,0.6507708333333333,0.6570833333333334
parameter,year,0.456375,0.48464583333333333,0.5040416666666667
