type,block,min,median,max
count_move,blocked_refresh,0.070703125,0.07330729166666665,0.074609375
count_move,cycle_swap,0.0070314695819885,0.00715754283644165,0.0072195018302282
count_move,interval_path,0.1924709702795339,0.19325801612444515,0.194807230477768
count_move,interval_transfer,0.2472779024704685,0.2478691799424008,0.2484871604703987
count_move,swap_2x2,0.0367126826511665,0.0369328810245146,0.0371964588958205
count_move,transfer,0.0712097154039263,0.0722164710698724,0.0723866700289023
parameter,beta,0.3730833333333333,0.3753125,0.3775833333333333
parameter,log_kappa,0.3587916666666667,0.3648125,0.3675
parameter,log_sigma_state,0.42675,0.42847916666666663,0.4317083333333333
parameter,log_sigma_year,0.4026666666666667,0.43556249999999996,0.4408333333333333
parameter,state,0.6755,0.6780625,0.679875
parameter,year,0.0,0.47991666666666666,0.4949583333333333
