replicate,scenario,parameter,truth_irr,posterior_median_irr,posterior_lower_95,posterior_upper_95,bias_irr,relative_bias_percent,squared_error_irr,interval_width,truth_covered_by_95_interval,r_hat,ess_bulk,ess_tail
1,baseline_rate_3_4_kappa_10,primary_rurality_metro_other,1.12,1.1678150654341906,0.8857588974713952,1.500475797768396,0.04781506543419045,4.269202270909855,0.0022862804824759146,0.6147169002970008,True,1.0165794033850069,252.52713025032344,600.8773601470192
1,baseline_rate_3_4_kappa_10,primary_rurality_nonmetro_adjacent,1.27,0.800329894116871,0.5393703624301105,1.1107009786640811,-0.46967010588312896,-36.98189810103377,0.22059000836026957,0.5713306162339706,False,1.0319303974269791,173.35016086462963,294.94701023323023
1,baseline_rate_3_4_kappa_10,primary_rurality_nonmetro_nonadjacent,1.23,1.0932123692352478,0.7663186168696313,1.5250215284467612,-0.1367876307647522,-11.12094559063026,0.018710855930234183,0.7587029115771299,True,1.0096482095529131,170.84818268423658,294.62712691413606
1,baseline_rate_3_4_kappa_10,svi_quartile_Q2,1.1,0.988975426864497,0.7485362107221218,1.3158817571838692,-0.11102457313550307,-10.093143012318462,0.01232645583992067,0.5673455464617474,True,1.0146584953682463,236.6493113132468,750.163510346641
1,baseline_rate_3_4_kappa_10,svi_quartile_Q3,1.25,1.3061291630859126,1.0043262795238241,1.6970456756446357,0.05612916308591265,4.490333046873007,0.0031504829487249792,0.6927193961208116,True,1.0082995914812831,284.50733501438054,717.338609720621
1,baseline_rate_3_4_kappa_10,svi_quartile_Q4_highest,1.43,1.5776085127128057,1.1425866126061122,2.1678555646096704,0.14760851271280573,10.322273616280132,0.02178827302528653,1.0252689520035583,True,1.008773329544233,208.2603306283841,463.05333894046265
