variable,vif,r_squared,n
acs_pct_poverty,2.91230834754734,0.6566297655802242,3129
acs_median_household_income,2.915749771706862,0.6570350413113104,3129
acs_pct_high_school_grad_or_higher,2.3911425072791155,0.581789877869763,3129
acs_pct_uninsured,1.5468709893958674,0.35353367743320896,3129
acs_pct_non_hispanic_black,1.3450833678128256,0.2565516577414445,3129
acs_pct_hispanic,1.6306230194394555,0.38673746900509176,3129
acs_pct_age_65_plus,1.3674651094262489,0.26871991606456946,3129
