replicate,scenario,parameter,truth_irr,posterior_median_irr,posterior_lower_95,posterior_upper_95,bias_irr,relative_bias_percent,squared_error_irr,interval_width,truth_covered_by_95_interval,r_hat,ess_bulk,ess_tail
1,baseline_rate_3_4_kappa_10,primary_rurality_metro_other,1.12,1.0362481214291182,0.7616328695313148,1.3885285524336628,-0.0837518785708819,-7.477846300971603,0.0070143771641517,0.626895682902348,True,1.014215603050214,227.60978463044069,626.5305581074145
1,baseline_rate_3_4_kappa_10,primary_rurality_nonmetro_adjacent,1.27,1.4743239726922233,1.0101646909424864,2.141710724822022,0.2043239726922232,16.088501786789223,0.0417482858167323,1.1315460338795358,True,1.0236479879797813,162.33705920084867,380.1970956425193
1,baseline_rate_3_4_kappa_10,primary_rurality_nonmetro_nonadjacent,1.23,1.2681292090818477,0.8717358868588715,1.8644092408306483,0.0381292090818474,3.099935697711187,0.0014538365852072,0.992673353971777,True,1.0155468102255212,132.57317814188056,274.4170389589976
1,baseline_rate_3_4_kappa_10,svi_quartile_Q2,1.1,0.8141148244752892,0.6148268274523567,1.08711040815564,-0.2858851755247109,-25.98956141133736,0.0817303335847947,0.4722835807032832,False,1.0142507386246198,352.1674002929103,814.3801302852589
1,baseline_rate_3_4_kappa_10,svi_quartile_Q3,1.25,1.009684642510804,0.7631383151570853,1.306769071038236,-0.2403153574891958,-19.22522859913567,0.05775147104516,0.5436307558811507,True,1.0195140745512568,254.30341928444045,633.8571189472123
1,baseline_rate_3_4_kappa_10,svi_quartile_Q4_highest,1.43,1.2718377475209603,0.92007724613677,1.7543042100847224,-0.1581622524790396,-11.060297376156614,0.0250152981092434,0.8342269639479525,True,1.0180434630770112,174.5218338404414,627.2828485635704
2,lower_rate_2_4_kappa_10,primary_rurality_metro_other,1.12,1.3511610492479509,1.0019464012352894,1.83687724390882,0.2311610492479505,20.63937939713845,0.0534354306894134,0.8349308426735302,True,1.0079212529024335,268.68772645914026,784.5966008481267
2,lower_rate_2_4_kappa_10,primary_rurality_nonmetro_adjacent,1.27,1.2360648919647814,0.8113693527333756,1.8200941316489383,-0.0339351080352186,-2.672055750804614,0.0011515915573619,1.008724778915563,True,1.0091608894870774,167.08007693458188,316.17473311520115
2,lower_rate_2_4_kappa_10,primary_rurality_nonmetro_nonadjacent,1.23,1.2955951326951267,0.8555719650301157,1.926280684423454,0.0655951326951267,5.332937617489986,0.0043027214332912,1.0707087193933384,True,1.007194017929762,197.05383838166324,537.3604674205072
2,lower_rate_2_4_kappa_10,svi_quartile_Q2,1.1,1.021316516016748,0.7668379367789854,1.420835794927932,-0.0786834839832522,-7.153043998477471,0.0061910906517427,0.6539978581489466,True,1.017978693602923,293.33164635988874,418.83020393507
2,lower_rate_2_4_kappa_10,svi_quartile_Q3,1.25,1.2406844611118482,0.9626018895904942,1.627370456473368,-0.0093155388881518,-0.7452431110521518,8.677926477666926e-05,0.6647685668828738,True,1.0119741552009478,316.3427912683998,638.8772527119287
2,lower_rate_2_4_kappa_10,svi_quartile_Q4_highest,1.43,1.357089868507479,0.9622324172328016,1.953378962194737,-0.0729101314925209,-5.098610593882579,0.0053158872742566,0.9911465449619352,True,1.0100017473798757,223.28453436407955,445.23996099473175
3,higher_rate_5_0_kappa_10,primary_rurality_metro_other,1.12,0.9265469688857352,0.7186655370008238,1.191784430918997,-0.193453031114265,-17.27259206377366,0.0374240752472967,0.4731188939181735,True,1.0142879528908173,301.3670680327973,1026.3870465532132
3,higher_rate_5_0_kappa_10,primary_rurality_nonmetro_adjacent,1.27,1.2534847756105765,0.9207417843936624,1.7045814061486078,-0.0165152243894235,-1.3004113692459462,0.000272752636633,0.7838396217549453,True,1.0214425365179345,174.768128763524,418.2400175956959
3,higher_rate_5_0_kappa_10,primary_rurality_nonmetro_nonadjacent,1.23,1.3495252951557593,0.965309450880377,1.8397946995492576,0.1195252951557592,9.717503671199946,0.0142862961820713,0.8744852486688806,True,1.0307801374459638,150.81601209373522,350.2222817609241
3,higher_rate_5_0_kappa_10,svi_quartile_Q2,1.1,1.179046960665738,0.9333669007830584,1.4928856265279815,0.079046960665738,7.186087333248903,0.0062484219904907,0.5595187257449232,True,1.003292261356692,436.6424336128524,1019.2709042183524
3,higher_rate_5_0_kappa_10,svi_quartile_Q3,1.25,1.2326351737597294,0.990970035600392,1.5037882519682022,-0.0173648262402705,-1.389186099221651,0.0003015371903547,0.5128182163678102,True,1.005287668074208,392.81279259480846,884.0632436852566
3,higher_rate_5_0_kappa_10,svi_quartile_Q4_highest,1.43,1.4373861417539917,1.0781199772274603,1.9351273933135769,0.0073861417539917,0.5165134093700452,5.455509001006063e-05,0.8570074160861163,True,1.031121386070774,163.34087739702733,470.8455999588869
4,baseline_rate_3_4_kappa_4,primary_rurality_metro_other,1.12,1.0125922908802183,0.72691203257544,1.3805634554704531,-0.1074077091197818,-9.58997402855195,0.0115364159783596,0.6536514228950131,True,1.007553063604619,209.6865132934514,783.058689563049
