handling_scenario,parameter,replicates,coverage_fraction,coverage_exact_95_lower,coverage_exact_95_upper,mean_bias_irr,root_mean_squared_error_irr
oracle_complete_counts,primary_rurality_metro_other,16,0.9375,0.697679261565468,0.9984188882772341,0.03387637243073553,0.16092965660319317
oracle_complete_counts,primary_rurality_nonmetro_adjacent,16,0.9375,0.697679261565468,0.9984188882772341,0.05948764393666109,0.2610274230308957
oracle_complete_counts,primary_rurality_nonmetro_nonadjacent,16,1.0,0.7940927857921772,1.0,0.012755540385533944,0.14588631821626608
oracle_complete_counts,svi_quartile_Q2,16,0.875,0.6165237631507364,0.9844863961845861,-0.00046521204721491904,0.16557603651055774
oracle_complete_counts,svi_quartile_Q3,16,0.9375,0.697679261565468,0.9984188882772341,-0.040346120280207565,0.15901750891756486
oracle_complete_counts,svi_quartile_Q4_highest,16,1.0,0.7940927857921772,1.0,-0.05413111122673914,0.21723901846623445
visible_exact_and_zero_only,primary_rurality_metro_other,16,0.3125,0.11016995471711757,0.5866206364513586,-0.9532220185336189,0.9768342360552279
visible_exact_and_zero_only,primary_rurality_nonmetro_adjacent,16,0.25,0.07266203825288216,0.5237708198961273,-1.245277956558537,1.2466051165691538
visible_exact_and_zero_only,primary_rurality_nonmetro_nonadjacent,16,0.25,0.07266203825288216,0.5237708198961273,-1.1819968785465762,1.196528777699555
visible_exact_and_zero_only,svi_quartile_Q2,16,0.875,0.6165237631507364,0.9844863961845861,0.5023204504221228,1.6939630141881297
visible_exact_and_zero_only,svi_quartile_Q3,16,0.8125,0.5435434537683883,0.9595262660940541,14443052427.121487,42890681049.05642
visible_exact_and_zero_only,svi_quartile_Q4_highest,16,0.5625,0.2987768990831778,0.8024658594673321,4.2658519553523584e+18,1.7063407614227366e+19
suppressed_equals_1,primary_rurality_metro_other,16,0.0,0.0,0.2059072142078227,-0.5988153802209535,0.6033373602909798
suppressed_equals_1,primary_rurality_nonmetro_adjacent,16,0.4375,0.19753414053266788,0.7012231009168222,-0.37985865091296145,0.4423866470630982
suppressed_equals_1,primary_rurality_nonmetro_nonadjacent,16,0.3125,0.11016995471711757,0.5866206364513586,-0.46160711909692903,0.47868808148870184
suppressed_equals_1,svi_quartile_Q2,16,0.875,0.6165237631507364,0.9844863961845861,0.10117695678884213,0.22320164360151673
suppressed_equals_1,svi_quartile_Q3,16,0.4375,0.19753414053266788,0.7012231009168222,0.4379574575786885,0.5017152484060767
suppressed_equals_1,svi_quartile_Q4_highest,16,0.9375,0.697679261565468,0.9984188882772341,0.2825382046574304,0.36210324627445734
suppressed_equals_5,primary_rurality_metro_other,16,0.0625,0.0015811117227658871,0.3023207384345319,0.9231301084841756,1.0035009213256756
suppressed_equals_5,primary_rurality_nonmetro_adjacent,16,0.0,0.0,0.2059072142078227,1.888404930505401,1.9640582576732828
suppressed_equals_5,primary_rurality_nonmetro_nonadjacent,16,0.0,0.0,0.2059072142078227,1.6605023875027434,1.6788947865833543
suppressed_equals_5,svi_quartile_Q2,16,0.875,0.6165237631507364,0.9844863961845861,-0.12094254109531871,0.19710641913938481
suppressed_equals_5,svi_quartile_Q3,16,0.5625,0.2987768990831778,0.8024658594673321,-0.267140570828448,0.3139573752862845
suppressed_equals_5,svi_quartile_Q4_highest,16,0.125,0.015513603815413885,0.38347623684926346,-0.5860493779609794,0.5948943682611699
suppressed_equals_9,primary_rurality_metro_other,16,0.0,0.0,0.2059072142078227,1.5862290336499543,1.6716647667621511
suppressed_equals_9,primary_rurality_nonmetro_adjacent,16,0.0,0.0,0.2059072142078227,2.957792354022981,3.033901491339737
suppressed_equals_9,primary_rurality_nonmetro_nonadjacent,16,0.0,0.0,0.2059072142078227,2.6893890166644514,2.715240257728069
suppressed_equals_9,svi_quartile_Q2,16,0.875,0.6165237631507364,0.9844863961845861,-0.15519275860193343,0.22372938325834085
suppressed_equals_9,svi_quartile_Q3,16,0.3125,0.11016995471711757,0.5866206364513586,-0.37474676235719645,0.4133687247382641
suppressed_equals_9,svi_quartile_Q4_highest,16,0.125,0.015513603815413885,0.38347623684926346,-0.6965004756959958,0.708027341050627
population_favoring_feasible_allocation,primary_rurality_metro_other,16,0.875,0.6165237631507364,0.9844863961845861,0.1828187786317237,0.2626967879632878
population_favoring_feasible_allocation,primary_rurality_nonmetro_adjacent,16,0.9375,0.697679261565468,0.9984188882772341,0.08619926112242426,0.25934323139763915
population_favoring_feasible_allocation,primary_rurality_nonmetro_nonadjacent,16,1.0,0.7940927857921772,1.0,-0.010746190420551398,0.16946632117234878
population_favoring_feasible_allocation,svi_quartile_Q2,16,0.9375,0.697679261565468,0.9984188882772341,0.042886865056740525,0.14344547292881646
population_favoring_feasible_allocation,svi_quartile_Q3,16,1.0,0.7940927857921772,1.0,-0.0875735321373683,0.15095382060526127
population_favoring_feasible_allocation,svi_quartile_Q4_highest,16,1.0,0.7940927857921772,1.0,-0.09209661424557139,0.21038214406587447
