replicate,scenario,cell_group,cells,mean_absolute_error,root_mean_squared_error,coverage_95,mean_interval_width
14,lower_rate_2_4_kappa_10,suppressed_cells,191,0.5913408958696917,0.8271466091524813,1.0,2.418848167539267
14,lower_rate_2_4_kappa_10,exact_cells,35,0.0,0.0,1.0,0.0
14,lower_rate_2_4_kappa_10,zero_cells,206,0.0,0.0,1.0,0.0
15,higher_rate_5_0_kappa_10,all_cells,432,0.4254661779835391,0.7290780981262832,0.9953703703703703,2.007002314814814
15,higher_rate_5_0_kappa_10,suppressed_cells,241,0.7626613646841863,0.9761294239580814,0.991701244813278,3.597614107883816
15,higher_rate_5_0_kappa_10,exact_cells,49,0.0,0.0,1.0,0.0
15,higher_rate_5_0_kappa_10,zero_cells,142,0.0,0.0,1.0,0.0
16,baseline_rate_3_4_kappa_4,all_cells,432,0.3883114711934156,0.7397115088099284,0.9976851851851852,1.611168981481481
16,baseline_rate_3_4_kappa_4,suppressed_cells,211,0.7950263296471828,1.058432146011353,0.995260663507109,3.298696682464453
16,baseline_rate_3_4_kappa_4,exact_cells,38,0.0,0.0,1.0,0.0
16,baseline_rate_3_4_kappa_4,zero_cells,183,0.0,0.0,1.0,0.0
