chain_left,chain_right,starting_l1_distance_free,final_l1_distance_free,starting_cells_different,final_cells_different
1,2,16976,16458,3167,4346
1,3,17292,16578,3223,4407
1,4,17478,16744,3221,4402
2,3,17218,16634,3205,4434
2,4,17700,17012,3270,4438
3,4,17546,16616,3266,4395
