group,status,cells,fraction
overall,suppressed_1_9,253,0.5856481481481481
overall,zero,134,0.3101851851851852
overall,exact,45,0.10416666666666667
nonmetro_nonadjacent,suppressed_1_9,72,0.5
nonmetro_nonadjacent,zero,72,0.5
metro_large,suppressed_1_9,54,0.5
metro_large,exact,44,0.4074074074074074
metro_large,zero,10,0.09259259259259259
nonmetro_adjacent,suppressed_1_9,78,0.65
nonmetro_adjacent,zero,42,0.35
metro_other,suppressed_1_9,49,0.8166666666666667
metro_other,zero,10,0.16666666666666666
metro_other,exact,1,0.016666666666666666
