type,block,min,median,max
count_move,blocked_refresh,0.05546875,0.061523437499999944,0.0630208333333333
count_move,cycle_swap,0.0147441645844034,0.0149165676272415,0.0150817796499986
count_move,interval_path,0.2443759250551345,0.24524562465946959,0.2469504151739842
count_move,interval_transfer,0.3340552171725059,0.33580722625696285,0.3369815068160195
count_move,swap_2x2,0.0665960752319536,0.0667170173055271,0.0671407077341512
count_move,transfer,0.0612531036757939,0.0615674339834871,0.0620388652187467
parameter,beta,0.3084583333333333,0.3115,0.315875
parameter,log_kappa,0.3477083333333333,0.35289583333333335,0.3614166666666666
parameter,log_sigma_state,0.4251666666666667,0.4274374999999999,0.4312916666666667
parameter,log_sigma_year,0.4340416666666666,0.43731249999999994,0.440375
parameter,state,0.6345416666666667,0.6366666666666667,0.6388333333333334
parameter,year,0.4782916666666666,0.5141458333333333,0.5213333333333333
