parameter,label,r_hat,ess_bulk,ess_tail,mcse_mean,mcse_sd,mean,sd,chains,draws_per_chain,draws,ess
Intercept,Intercept,1.0121613076792308,217.49111631252114,473.8883184678593,0.007219882132122278,0.005258609578275644,-9.976621055442067,0.10643734151190848,4,1800,7200,217.49111631252114
kappa,kappa,1.0020625099111957,2312.8004000296046,5702.929368444665,0.05268804435536748,0.04790943709492097,10.961955469625892,2.730629510464756,4,1800,7200,2312.8004000296046
primary_rurality_metro_other,metro_other vs metro_large,1.0079444869967993,432.07687520045914,910.3120378296196,0.005683879285053349,0.004112016353342007,0.09298799899346398,0.11790246323700539,4,1800,7200,432.07687520045914
primary_rurality_nonmetro_adjacent,nonmetro_adjacent vs metro_large,1.0040400692330034,312.2238354425231,567.6186732587657,0.007955034173940388,0.005656401275979149,0.1989471052745775,0.1401475918355777,4,1800,7200,312.2238354425231
primary_rurality_nonmetro_nonadjacent,nonmetro_nonadjacent vs metro_large,1.0098331830388767,263.42492424412706,400.5782553773577,0.009221681526397803,0.0064325180286902905,0.3790618466861435,0.14894671120090971,4,1800,7200,263.42492424412706
sigma_state,sigma_state,1.000523897011926,3821.650398687314,4816.522693693717,0.0023924464273862517,0.003611147411449469,0.3524371718661663,0.16136336735752474,4,1800,7200,3821.650398687314
sigma_year,sigma_year,1.0110128415584292,345.52318919221017,56.49337299967015,0.004139541234373101,0.006961617906282068,0.20532410406970056,0.11520950313168156,4,1800,7200,345.52318919221017
state_effect[13],state_effect[13],1.0028418531752044,702.9410187516017,1990.3940439057392,0.003101460118797444,0.0021790655555779244,0.08229449935173483,0.08224606475901473,4,1800,7200,702.9410187516017
state_effect[20],state_effect[20],1.0076287102879664,647.0954108551247,1597.6603189365399,0.003970401148766015,0.0028094043690304353,0.01582081147547338,0.10061091326074724,4,1800,7200,647.0954108551247
state_effect[21],state_effect[21],1.0027115543413818,1022.2901222277577,2208.8393170811974,0.0027557943473358114,0.0019410210098671791,-0.28167635525581014,0.0880395674142643,4,1800,7200,1022.2901222277577
state_effect[29],state_effect[29],1.002521521750295,1053.254802387926,1937.4006680678156,0.0027526712609008508,0.0020019370707616067,-0.30777082302837383,0.08910992703575477,4,1800,7200,1053.254802387926
state_effect[48],state_effect[48],1.0019407097849677,857.2408253334404,1444.7069865861758,0.0027941348023541503,0.0019520297406252444,0.31864723203814904,0.08190479818897538,4,1800,7200,857.2408253334404
state_effect[51],state_effect[51],1.0015976650406964,1473.4108277086882,3171.6066110273446,0.0019611433286252397,0.0013589876792425022,0.17268463541882675,0.07524416495356327,4,1800,7200,1473.4108277086882
svi_quartile_Q2,SVI Q2 vs Q1,1.0151636645913538,319.5476401899461,820.3347066041179,0.0067882535801164715,0.004827809309515589,0.0506867178048156,0.12131862262002449,4,1800,7200,319.5476401899461
svi_quartile_Q3,SVI Q3 vs Q1,1.0140920045347623,312.9148587327209,797.4992940363435,0.0063765377617399,0.004631554308557912,0.2913934276850896,0.11275841335738505,4,1800,7200,312.9148587327209
svi_quartile_Q4_highest,SVI Q4 vs Q1,1.0112251255227855,302.07884145957195,669.7820813479408,0.007674934784313274,0.005557617737307741,0.3058399095045345,0.13329574055846083,4,1800,7200,302.07884145957195
year_effect[2019],year_effect[2019],1.0121645426997845,379.03734795246316,55.0776394386087,0.004465633280797859,0.003108665061714961,-0.19055850215725412,0.08351723030520787,4,1800,7200,379.03734795246316
year_effect[2020],year_effect[2020],1.0051548374138048,1454.7398074047744,3974.797288371711,0.0018621711693532573,0.0013312402877377655,-0.08685252306119248,0.07160685681405894,4,1800,7200,1454.7398074047744
year_effect[2021],year_effect[2021],1.0013237387441227,2636.727053058,4042.061057753656,0.0013298174366384657,0.0010118585194085026,-0.030025633513262914,0.06816601327651903,4,1800,7200,2636.727053058
year_effect[2022],year_effect[2022],1.0031651958735686,2433.614568528339,4281.318556792123,0.0013881422236514643,0.000982589149942361,0.06134227064847372,0.06842648099979184,4,1800,7200,2433.614568528339
year_effect[2023],year_effect[2023],1.0017509301836713,1749.5745938271195,3190.260846194253,0.00164785723804602,0.001211552005255529,0.044837183374860375,0.0687205115423475,4,1800,7200,1749.5745938271195
year_effect[2024],year_effect[2024],1.0118612397771036,373.30973226871714,64.57763731854502,0.004589595301265099,0.003383629720614619,0.2012572047083754,0.07632975294243859,4,1800,7200,373.30973226871714
z_pct_age65,pct_age65 coefficient,1.0054276855527298,322.5106774711487,781.7313199703425,0.0037898887253411118,0.0025879838938270045,0.12276786377974422,0.0681305302006365,4,1800,7200,322.5106774711487
z_pct_male,pct_male coefficient,1.0012893343922096,773.5155532920394,1801.1329824805614,0.0025070687379414626,0.0017464463626110413,-0.17233844812589053,0.06972091693216871,4,1800,7200,773.5155532920394
